DATE,OPEN,HIGH,LOW,CLOSE,Regime,Prob_Reg0,Prob_Reg1
1990-01-02,17.24,17.24,17.24,17.24,1,3.829224617526853e-06,0.9999961707763405
1990-01-03,18.19,18.19,18.19,18.19,1,0.00022241467239934518,0.9997775853257842
1990-01-04,19.22,19.22,19.22,19.22,1,0.00015806972948912364,0.9998419302698205
1990-01-05,20.11,20.11,20.11,20.11,1,5.7339282352576406e-05,0.9999426607169449
1990-01-08,20.26,20.26,20.26,20.26,1,2.6412620789454354e-05,0.9999735873784912
1990-01-09,22.2,22.2,22.2,22.2,1,1.759794101545565e-06,0.999998240205698
1990-01-10,22.44,22.44,22.44,22.44,1,1.1907096120235632e-06,0.9999988092902453
1990-01-11,20.05,20.05,20.05,20.05,1,2.163343875536553e-05,0.9999783665601104
1990-01-12,24.64,24.64,24.64,24.64,1,2.8846949207889808e-08,0.9999999711544665
1990-01-15,26.34,26.34,26.34,26.34,1,7.713551419540799e-10,0.9999999992287485
1990-01-16,24.18,24.18,24.18,24.18,1,5.376653433572224e-08,0.9999999462343127
1990-01-17,24.16,24.16,24.16,24.16,1,5.574604360006003e-08,0.9999999442552523
1990-01-18,24.34,24.34,24.34,24.34,1,4.069407679761313e-08,0.9999999593055698
1990-01-19,22.5,22.5,22.5,22.5,1,8.601849254466638e-07,0.9999991398148329
1990-01-22,26.7,26.7,26.7,26.7,1,3.56135625637007e-10,0.9999999996434781
1990-01-23,24.72,24.72,24.72,24.72,1,1.9977946388855182e-08,0.9999999800238586
1990-01-24,25.39,25.39,25.39,25.39,1,5.477996521368822e-09,0.9999999945212039
1990-01-25,25.63,25.63,25.63,25.63,1,3.3841333390766662e-09,0.9999999966166797
1990-01-26,26.28,26.28,26.28,26.28,1,8.761119108077253e-10,0.9999999991232471
1990-01-29,26.44,26.44,26.44,26.44,1,6.21542275357196e-10,0.9999999993779056
1990-01-30,27.25,27.25,27.25,27.25,1,1.025292894264863e-10,0.9999999998981366
1990-01-31,25.36,25.36,25.36,25.36,1,5.813394566747343e-09,0.9999999941865099
1990-02-01,24.87,24.87,24.87,24.87,1,1.5055894409522823e-08,0.9999999849424058
1990-02-02,24.32,24.32,24.32,24.32,1,4.1786096989501035e-08,0.9999999582141763
1990-02-05,24.54,24.54,24.54,24.54,1,2.7949483577132148e-08,0.9999999720494093
1990-02-06,24.69,24.69,24.69,24.69,1,2.1149108833597037e-08,0.9999999788524294
1990-02-07,24.29,24.29,24.29,24.29,1,4.415989011336387e-08,0.9999999558385763
1990-02-08,23.77,23.77,23.77,23.77,1,1.1052799606946301e-07,0.999999889470934
1990-02-09,23.69,23.69,23.69,23.69,1,1.2674254901542412e-07,0.9999998732564643
1990-02-12,24.38,24.38,24.38,24.38,1,3.755639808221853e-08,0.9999999624451454
1990-02-13,23.76,23.76,23.76,23.76,1,1.1519792816820658e-07,0.9999998848034077
1990-02-14,22.05,22.05,22.05,22.05,1,2.3145399316471287e-06,0.9999976854587158
1990-02-15,19.71,19.71,19.71,19.71,1,3.475407318578248e-05,0.9999652459264649
1990-02-16,20.78,20.78,20.78,20.78,1,1.2405609990748345e-05,0.9999875943909571
1990-02-20,22.78,22.78,22.78,22.78,1,6.375466813482646e-07,0.9999993624516933
1990-02-21,23.89,23.89,23.89,23.89,1,9.109321650664914e-08,0.9999999089050148
1990-02-22,22.54,22.54,22.54,22.54,1,8.111802083658556e-07,0.9999991888183665
1990-02-23,23.69,23.69,23.69,23.69,1,1.2791365425284376e-07,0.9999998720850354
1990-02-26,23.56,23.56,23.56,23.56,1,1.5916102381674113e-07,0.9999998408384398
1990-02-27,22.69,22.69,22.69,22.69,1,6.577725025458932e-07,0.9999993422281822
1990-02-28,21.99,21.99,21.99,21.99,1,1.8785884319738954e-06,0.9999981214113542
1990-03-01,21.9,21.9,21.9,21.9,1,2.2200886544036805e-06,0.9999977799113454
1990-03-02,21.34,21.34,21.34,21.34,1,4.669156221428641e-06,0.9999953308433626
1990-03-05,22.03,22.03,22.03,22.03,1,2.274612873987059e-06,0.9999977253854416
1990-03-06,20.55,20.55,20.55,20.55,1,2.3444772482280343e-05,0.9999765552258233
1990-03-07,19.1,19.1,19.1,19.1,1,9.208434785967426e-05,0.9999079156531984
1990-03-08,19.74,19.74,19.74,19.74,1,6.414564327725006e-05,0.9999358543556418
1990-03-09,20.3,20.3,20.3,20.3,1,3.3315092465596366e-05,0.999966684909109
1990-03-12,20.07,20.07,20.07,20.07,1,3.485599830522641e-05,0.9999651440011222
1990-03-13,21.05,21.05,21.05,21.05,1,3.403641701062909e-05,0.9999659635840492
1990-03-14,19.65,19.65,19.65,19.65,1,0.0002944104143912692,0.9997055895844918
1990-03-15,18.81,18.81,18.81,18.81,1,0.0008948214511475879,0.9991051785502676
1990-03-16,17.62,17.62,17.62,17.62,1,0.0014569026512129136,0.9985430973495004
1990-03-19,18.29,18.29,18.29,18.29,1,0.0012422909348327198,0.9987577090634618
1990-03-20,19.06,19.06,19.06,19.06,1,0.0006329087182618978,0.9993670912831859
1990-03-21,20.1,20.1,20.1,20.1,1,0.00013857035586936723,0.9998614296430293
1990-03-22,22.74,22.74,22.74,22.74,1,1.8467832982051237e-06,0.9999981532181437
